TRACT,Med_Income_2010,Med_Income_2020,house_value_2010,house_value_2020
48113000100,72375.0,127625.0,306058.94482807646,530151.9351986266
48113000201,106157.0,156000.0,241187.43450391002,449849.5686008919
48113000202,77179.0,123571.0,241187.43450391002,449849.5686008919
48113000300,82917.0,86741.0,241187.43450391002,449849.5686008919
48113000401,36772.0,52347.0,218302.5650447527,337707.40373108035
48113000404,42500.0,,218302.5650447527,
48113000405,21756.0,41121.0,218302.5650447527,337707.40373108035
48113000406,32546.0,,142696.82931841616,
48113000500,47928.0,,218302.5650447527,
48113000601,43975.0,,218302.5650447527,
48113000603,67962.0,,218302.5650447527,
48113000605,68491.0,,218302.5650447527,
48113000606,100914.0,,231381.87453408915,
48113000701,97361.0,,231381.87453408915,
48113000702,58792.0,,231381.87453408915,
48113000800,33805.0,,241187.43450391002,
48113000900,30911.0,,241187.43450391002,
48113001001,70819.0,136000.0,241187.43450391002,449849.5686008919
48113001002,52136.0,115664.0,241187.43450391002,449849.5686008919
48113001101,65020.0,115639.0,241187.43450391002,449849.5686008919
48113001102,80000.0,136932.0,241187.43450391002,449849.5686008919
48113001202,33081.0,62453.0,83549.473038015,203756.8749280169
48113001203,60781.0,87188.0,71329.02384046222,530151.9351986266
48113001204,23750.0,49583.0,306058.94482807646,530151.9351986266
48113001301,40260.0,62736.0,306058.94482807646,530151.9351986266
48113001302,39844.0,62222.0,306058.94482807646,530151.9351986266
48113001400,42303.0,50558.0,241187.43450391002,449849.5686008919
48113001502,38271.0,45450.0,106149.59510876623,255774.76624098586
48113001503,20308.0,31205.0,241187.43450391002,449849.5686008919
48113001504,26250.0,57958.0,241187.43450391002,449849.5686008919
48113001600,35781.0,,231381.87453408915,
48113001701,107500.0,,526915.564891789,
48113001703,86083.0,,231381.87453408915,
48113001704,106526.0,,231381.87453408915,
48113001800,60708.0,,231381.87453408915,
48113001900,83420.0,,218302.5650447527,
48113002000,31813.0,,126467.60416593065,
48113002100,78179.0,82064.0,526915.564891789,779793.417641417
48113002200,43500.0,68605.0,306058.94482807646,402433.53917472955
48113002400,31585.0,48750.0,306058.94482807646,530151.9351986266
48113002500,27440.0,46563.0,63710.94969421043,159820.5163958777
48113002701,10396.0,,52272.982239403354,
48113002702,18494.0,,52131.20470806839,
48113003101,60789.0,,526915.564891789,
48113003400,22390.0,,52131.20470806839,
48113003700,21233.0,31736.0,52131.20470806839,108569.49358180475
48113003800,18344.0,,52131.20470806839,
48113003901,15132.0,,52131.20470806839,
48113003902,21536.0,,52131.20470806839,
48113004000,22102.0,,52131.20470806839,
48113004100,10814.0,,49195.710306247674,
48113004201,41721.0,69398.0,126467.60416593065,311331.04379613313
48113004202,35929.0,69961.0,126467.60416593065,311331.04379613313
48113004300,37225.0,57036.0,126467.60416593065,311331.04379613313
48113004400,81016.0,128750.0,126467.60416593065,311331.04379613313
48113004500,48278.0,56791.0,72126.71568105095,166637.54360504556
48113004600,54205.0,68828.0,126467.60416593065,311331.04379613313
48113004700,29639.0,51490.0,126467.60416593065,311331.04379613313
48113004800,28514.0,46087.0,126467.60416593065,311331.04379613313
48113004900,24640.0,,49100.889172724805,
48113005000,36890.0,44507.0,126467.60416593065,311331.04379613313
48113005100,29089.0,53362.0,126467.60416593065,311331.04379613313
48113005200,42011.0,82353.0,126467.60416593065,311331.04379613313
48113005300,45489.0,46473.0,72126.71568105095,166637.54360504556
48113005400,26746.0,41202.0,49100.889172724805,123595.85600034776
48113005500,24548.0,51591.0,49100.889172724805,123595.85600034776
48113005600,26007.0,48329.0,49100.889172724805,123595.85600034776
48113005700,23567.0,32143.0,49100.889172724805,123595.85600034776
48113005901,28303.0,35421.0,49100.889172724805,123595.85600034776
48113005902,27887.0,32500.0,49100.889172724805,123595.85600034776
48113006001,31672.0,49411.0,72783.3453976533,175953.4687446621
48113006002,24167.0,29024.0,72783.3453976533,175953.4687446621
48113006100,31573.0,41667.0,72783.3453976533,175953.4687446621
48113006200,39349.0,43304.0,72783.3453976533,175953.4687446621
48113006301,33750.0,59588.0,72783.3453976533,175953.4687446621
48113006302,37067.0,61184.0,72783.3453976533,175953.4687446621
48113006401,42097.0,,72126.71568105095,
48113006402,32046.0,,72126.71568105095,
48113006501,42616.0,55745.0,72126.71568105095,166637.54360504556
48113006502,37005.0,57917.0,72126.71568105095,166637.54360504556
48113006700,34915.0,,72126.71568105095,
48113006800,39798.0,47098.0,72126.71568105095,166637.54360504556
48113006900,28986.0,51200.0,72126.71568105095,166637.54360504556
48113007101,105580.0,112546.0,784285.2896938352,1176517.1478648703
48113007102,50563.0,55662.0,218302.5650447527,632235.1343298763
48113007201,28920.0,,142696.82931841616,
48113007202,26357.0,,142696.82931841616,
48113007301,168750.0,208611.0,142696.82931841616,309625.4105512089
48113007302,86853.0,128065.0,142696.82931841616,309625.4105512089
48113007601,150625.0,142857.0,244513.7511664766,444864.5219991231
48113007604,215938.0,250000.0,377704.99460929446,631330.5209287112
48113007605,108578.0,161875.0,244513.7511664766,444864.5219991231
48113007700,80815.0,,377704.99460929446,
48113007801,107361.0,79121.0,113803.37255241799,232205.93851447248
48113007804,36933.0,,105398.42907385131,
48113007805,57000.0,52500.0,105398.42907385131,215452.53529967405
48113007809,39099.0,70462.0,113803.37255241799,232205.93851447248
48113007810,91544.0,59672.0,105398.42907385131,215452.53529967405
48113007811,32457.0,,105398.42907385131,
48113007812,141140.0,184093.0,105398.42907385131,215452.53529967405
48113007815,22354.0,37852.0,113803.37255241799,232205.93851447248
48113007818,25820.0,,113803.37255241799,
48113007819,23818.0,35297.0,113803.37255241799,232205.93851447248
48113007820,27058.0,,113803.37255241799,
48113007821,30156.0,,113803.37255241799,
48113007822,40895.0,,113803.37255241799,
48113007823,23478.0,,105398.42907385131,
48113007824,143482.0,,113803.37255241799,
48113007825,51528.0,,105398.42907385131,
48113007826,32174.0,,113803.37255241799,
48113007827,43220.0,,113803.37255241799,
48113007902,56071.0,79176.0,113803.37255241799,232205.93851447248
48113007903,80512.0,100590.0,241187.43450391002,449849.5686008919
48113007906,111250.0,188456.0,743704.5366833328,1118975.1803291042
48113007909,48617.0,,241187.43450391002,
48113007910,49282.0,,241187.43450391002,
48113007911,42662.0,,241187.43450391002,
48113007912,51701.0,,241187.43450391002,
48113007913,42896.0,,241187.43450391002,
48113007914,44479.0,,241187.43450391002,
48113008000,121573.0,211149.0,306058.94482807646,530151.9351986266
48113008100,66586.0,,197155.21339082622,
48113008200,55750.0,73912.0,197155.21339082622,363633.79110383865
48113008400,35734.0,,83549.473038015,
48113008500,31820.0,47431.0,63710.94969421043,159820.5163958777
48113008603,30968.0,,49100.889172724805,
48113008604,13672.0,27944.0,49100.889172724805,123595.85600034776
48113008701,20122.0,21682.0,49100.889172724805,123595.85600034776
48113008703,24856.0,29133.0,49100.889172724805,123595.85600034776
48113008704,20945.0,15805.0,49100.889172724805,123595.85600034776
48113008705,35741.0,35846.0,49100.889172724805,123595.85600034776
48113008801,27115.0,27827.0,49100.889172724805,123595.85600034776
48113008802,18384.0,26743.0,49100.889172724805,123595.85600034776
48113008900,23438.0,,49195.710306247674,
48113009000,33062.0,,51214.10637345537,
48113009101,35593.0,48094.0,51214.10637345537,140675.85850060507
48113009103,37500.0,35063.0,51214.10637345537,140675.85850060507
48113009104,31055.0,67872.0,51214.10637345537,140675.85850060507
48113009105,34074.0,40383.0,51214.10637345537,140675.85850060507
48113009201,45452.0,,51214.10637345537,
48113009202,34345.0,41353.0,51214.10637345537,140675.85850060507
48113009301,34906.0,44933.0,51214.10637345537,140675.85850060507
48113009303,30417.0,42956.0,51214.10637345537,140675.85850060507
48113009304,17873.0,23969.0,51214.10637345537,140675.85850060507
48113009401,46875.0,73403.0,142696.82931841616,309625.4105512089
48113009402,84167.0,163274.0,142696.82931841616,309625.4105512089
48113009500,114449.0,162656.0,244513.7511664766,444864.5219991231
48113009603,102321.0,129306.0,243471.574112032,451565.0602148653
48113009604,52113.0,52550.0,377704.99460929446,631330.5209287112
48113009605,33053.0,61971.0,122103.90890160219,259220.6727874624
48113009607,72083.0,119619.0,244513.7511664766,444864.5219991231
48113009608,65539.0,109588.0,122103.90890160219,259220.6727874624
48113009609,107740.0,149327.0,244513.7511664766,444864.5219991231
48113009610,24879.0,45797.0,244513.7511664766,444864.5219991231
48113009611,46537.0,88750.0,244513.7511664766,444864.5219991231
48113009701,40375.0,73839.0,244513.7511664766,444864.5219991231
48113009702,85781.0,111429.0,244513.7511664766,444864.5219991231
48113009802,35625.0,48094.0,142696.82931841616,309625.4105512089
48113009803,53295.0,66343.0,142696.82931841616,309625.4105512089
48113009804,23725.0,38309.0,142696.82931841616,309625.4105512089
48113009900,33750.0,75352.0,142696.82931841616,309625.4105512089
48113010000,30000.0,,142696.82931841616,
48113010101,23205.0,35417.0,55888.26046929332,165602.01739036271
48113010102,28847.0,48295.0,55888.26046929332,165602.01739036271
48113010500,32500.0,43698.0,72126.71568105095,165602.01739036271
48113010601,37453.0,58125.0,55888.26046929332,165602.01739036271
48113010602,26128.0,29889.0,55888.26046929332,165602.01739036271
48113010701,33125.0,48404.0,72126.71568105095,166637.54360504556
48113010703,30477.0,,72126.71568105095,
48113010704,36000.0,39167.0,72126.71568105095,166637.54360504556
48113010801,33884.0,,72126.71568105095,
48113010803,59472.0,,72783.3453976533,
48113010804,26578.0,,72783.3453976533,
48113010805,36752.0,,72126.71568105095,
48113010902,29540.0,,61962.992412041436,
48113010903,25449.0,,80551.9981764895,
48113010904,26765.0,,61962.992412041436,
48113011001,41015.0,,72783.3453976533,
48113011002,61375.0,52390.0,72783.3453976533,175953.4687446621
48113011101,47845.0,67122.0,61962.992412041436,166990.65389513184
48113011103,36932.0,35811.0,61962.992412041436,166990.65389513184
48113011104,34336.0,29910.0,61962.992412041436,166990.65389513184
48113011105,31176.0,40093.0,61962.992412041436,166990.65389513184
48113011200,36747.0,,49100.889172724805,
48113011300,40652.0,41607.0,49100.889172724805,123595.85600034776
48113011401,14922.0,24110.0,53005.86549527256,146594.4610716961
48113011500,16719.0,24105.0,51214.10637345537,140675.85850060507
48113011601,28201.0,35407.0,51214.10637345537,140675.85850060507
48113011602,35515.0,,51214.10637345537,
48113011701,35313.0,40168.0,51214.10637345537,140675.85850060507
48113011702,37906.0,48188.0,51214.10637345537,140675.85850060507
48113011800,31027.0,,51214.10637345537,
48113011900,41691.0,,51214.10637345537,
48113012000,31188.0,34959.0,51214.10637345537,140675.85850060507
48113012100,34487.0,,63710.94969421043,
48113012204,57308.0,,83549.473038015,
48113012206,55486.0,72873.0,83549.473038015,203756.8749280169
48113012207,41077.0,46220.0,83549.473038015,203756.8749280169
48113012208,17417.0,22951.0,83549.473038015,203756.8749280169
48113012209,54306.0,81053.0,83549.473038015,203756.8749280169
48113012210,22341.0,32802.0,83549.473038015,203756.8749280169
48113012211,29575.0,35433.0,83549.473038015,203756.8749280169
48113012301,36070.0,58879.0,83549.473038015,203756.8749280169
48113012302,23030.0,35480.0,83549.473038015,203756.8749280169
48113012400,50357.0,53503.0,83549.473038015,203756.8749280169
48113012500,50292.0,,83549.473038015,
48113012601,41082.0,43495.0,83549.473038015,203756.8749280169
48113012603,65082.0,,83549.473038015,
48113012604,34011.0,,83549.473038015,
48113012701,35716.0,44858.0,83549.473038015,203756.8749280169
48113012702,43707.0,55234.0,83549.473038015,203756.8749280169
48113012800,51616.0,,222911.92195417607,
48113012900,64938.0,105719.0,222911.92195417607,397566.1624017575
48113013004,90838.0,,222911.92195417607,
48113013005,85109.0,111114.0,222911.92195417607,397566.1624017575
48113013007,69362.0,83163.0,222911.92195417607,397566.1624017575
48113013008,76027.0,109132.0,113803.37255241799,232205.93851447248
48113013009,52962.0,87091.0,222911.92195417607,397566.1624017575
48113013010,30640.0,,222911.92195417607,
48113013011,28618.0,,222911.92195417607,
48113013101,103321.0,150068.0,105398.42907385131,215452.53529967405
48113013102,98806.0,152212.0,377704.99460929446,631330.5209287112
48113013104,46579.0,,113803.37255241799,
48113013105,29349.0,,113803.37255241799,
48113013200,82288.0,,105398.42907385131,
48113013300,214830.0,250000.0,377704.99460929446,631330.5209287112
48113013400,147500.0,217371.0,244513.7511664766,444864.5219991231
48113013500,190200.0,237692.0,244513.7511664766,444864.5219991231
48113013605,112750.0,135774.0,219863.00999898525,410460.0926406523
48113013606,55696.0,74803.0,219863.00999898525,410460.0926406523
48113013607,89315.0,97075.0,219863.00999898525,410460.0926406523
48113013608,191667.0,143977.0,131006.6303175226,243804.8979741137
48113013609,65093.0,78317.0,131006.6303175226,243804.8979741137
48113013610,64947.0,111653.0,131006.6303175226,243804.8979741137
48113013611,93365.0,121528.0,219863.00999898525,410460.0926406523
48113013615,34574.0,40731.0,131006.6303175226,243804.8979741137
48113013616,53611.0,,219863.00999898525,
48113013617,79205.0,109875.0,219863.00999898525,410460.0926406523
48113013618,106563.0,98063.0,219863.00999898525,410460.0926406523
48113013619,124798.0,130054.0,219863.00999898525,410460.0926406523
48113013620,52891.0,,219863.00999898525,
48113013621,42141.0,,219863.00999898525,
48113013622,60000.0,,131006.6303175226,
48113013623,38843.0,,131006.6303175226,
48113013624,50572.0,,131006.6303175226,
48113013625,31600.0,,131006.6303175226,
48113013626,46350.0,,131006.6303175226,
48113013711,31971.0,,122103.90890160219,
48113013712,61089.0,,122103.90890160219,
48113013713,28643.0,,127496.33317803328,
48113013714,45306.0,,127496.33317803328,
48113013715,49602.0,84875.0,127496.33317803328,247889.7032529935
48113013716,55938.0,76400.0,127496.33317803328,247889.7032529935
48113013717,48227.0,50744.0,127496.33317803328,247889.7032529935
48113013718,36010.0,54728.0,127496.33317803328,247889.7032529935
48113013719,61442.0,56074.0,127496.33317803328,247889.7032529935
48113013720,58852.0,73590.0,127496.33317803328,247889.7032529935
48113013721,92581.0,112703.0,127496.33317803328,247889.7032529935
48113013722,50750.0,69524.0,127496.33317803328,247889.7032529935
48113013725,42000.0,47566.0,127496.33317803328,247889.7032529935
48113013726,68561.0,,233474.63587933974,
48113013727,65076.0,,127496.33317803328,
48113013803,71722.0,,122103.90890160219,
48113013804,51914.0,70199.0,122103.90890160219,259220.6727874624
48113013805,29540.0,,233474.63587933974,
48113013806,59728.0,,233474.63587933974,
48113013901,49385.0,58958.0,122103.90890160219,259220.6727874624
48113013902,51549.0,73750.0,122103.90890160219,259220.6727874624
48113014001,64396.0,85508.0,122103.90890160219,259220.6727874624
48113014002,37361.0,71014.0,127496.33317803328,247889.7032529935
48113014103,24784.0,,278916.1543629276,
48113014113,44167.0,,105699.6791791484,
48113014114,31989.0,,105699.6791791484,
48113014115,53425.0,,105699.6791791484,
48113014116,37163.0,,105699.6791791484,
48113014119,98868.0,112672.0,269367.9525095153,418339.41225966
48113014120,117895.0,144784.0,269367.9525095153,418339.41225966
48113014121,58125.0,77063.0,269367.9525095153,418339.41225966
48113014123,128438.0,165313.0,269367.9525095153,418339.41225966
48113014124,166544.0,159330.0,269367.9525095153,409253.4093855394
48113014126,115152.0,145573.0,269367.9525095153,418339.41225966
48113014127,64178.0,,269367.9525095153,
48113014128,54954.0,,278916.1543629276,
48113014129,68727.0,,278916.1543629276,
48113014130,71473.0,,278916.1543629276,
48113014131,53036.0,,278916.1543629276,
48113014132,69048.0,,278916.1543629276,
48113014133,38344.0,,105699.6791791484,
48113014134,124196.0,,269367.9525095153,
48113014135,74583.0,,269367.9525095153,
48113014136,45677.0,,278916.1543629276,
48113014137,64987.0,,350853.8814144528,
48113014138,76359.0,,350853.8814144528,
48113014203,51883.0,74630.0,105699.6791791484,220052.44294397684
48113014204,36154.0,42813.0,105699.6791791484,220052.44294397684
48113014205,165583.0,,105699.6791791484,
48113014206,66037.0,,105699.6791791484,
48113014302,44131.0,,105699.6791791484,
48113014306,47118.0,63661.0,105699.6791791484,220052.44294397684
48113014307,57287.0,,105699.6791791484,
48113014308,30210.0,46641.0,105699.6791791484,220052.44294397684
48113014309,26825.0,39825.0,105699.6791791484,220052.44294397684
48113014310,41394.0,62536.0,105699.6791791484,220052.44294397684
48113014311,65700.0,,188058.58864507824,
48113014312,67807.0,,105699.6791791484,
48113014403,38713.0,,95557.46488400351,
48113014405,38750.0,41513.0,95557.46488400351,208937.0004348018
48113014406,40547.0,59015.0,95557.46488400351,208937.0004348018
48113014407,28218.0,41480.0,95557.46488400351,208937.0004348018
48113014408,41019.0,68707.0,95557.46488400351,208937.0004348018
48113014501,58005.0,82242.0,95557.46488400351,208937.0004348018
48113014502,37031.0,56912.0,95557.46488400351,208937.0004348018
48113014601,49792.0,53145.0,95557.46488400351,208937.0004348018
48113014602,32249.0,52864.0,95557.46488400351,208937.0004348018
48113014603,36688.0,51705.0,95557.46488400351,208937.0004348018
48113014701,32679.0,44733.0,95557.46488400351,208937.0004348018
48113014702,34573.0,,95557.46488400351,
48113014703,32159.0,,95557.46488400351,
48113014901,41595.0,,95381.8208779219,
48113014902,31523.0,,95381.8208779219,
48113015000,36780.0,,95381.8208779219,
48113015100,48207.0,,95381.8208779219,
48113015202,38148.0,49000.0,95557.46488400351,208937.0004348018
48113015204,50942.0,,95381.8208779219,
48113015205,31031.0,38674.0,95381.8208779219,200668.10465082107
48113015206,51723.0,63931.0,95381.8208779219,200668.10465082107
48113015303,36806.0,50556.0,95557.46488400351,208937.0004348018
48113015304,34125.0,53966.0,95381.8208779219,200668.10465082107
48113015305,52459.0,67099.0,95381.8208779219,200668.10465082107
48113015306,51339.0,74531.0,95381.8208779219,200668.10465082107
48113015401,53139.0,,81664.35313883238,
48113015403,37246.0,40019.0,81664.35313883238,187909.23063296825
48113015404,34850.0,46131.0,81664.35313883238,187909.23063296825
48113015500,31677.0,69779.0,81664.35313883238,187909.23063296825
48113015600,30323.0,52933.0,81664.35313883238,187909.23063296825
48113015700,36690.0,56731.0,81664.35313883238,187909.23063296825
48113015800,40753.0,,81664.35313883238,
48113015900,30655.0,29638.0,68135.30237575222,170765.78541917607
48113016001,40604.0,37803.0,68135.30237575222,170765.78541917607
48113016002,28250.0,31580.0,68135.30237575222,170765.78541917607
48113016100,26286.0,38125.0,68135.30237575222,170765.78541917607
48113016201,40083.0,67630.0,68135.30237575222,170765.78541917607
48113016202,36250.0,,68135.30237575222,
48113016301,50290.0,62461.0,68135.30237575222,170765.78541917607
48113016302,39864.0,42070.0,68135.30237575222,170765.78541917607
48113016401,62040.0,,120792.32987096383,
48113016406,40969.0,64118.0,120792.32987096383,228327.6494383578
48113016407,39327.0,59527.0,120792.32987096383,228327.6494383578
48113016408,59952.0,,120792.32987096383,
48113016409,91422.0,110139.0,120792.32987096383,228327.6494383578
48113016410,74655.0,76585.0,120792.32987096383,228327.6494383578
48113016411,65566.0,,120792.32987096383,
48113016412,99896.0,,120792.32987096383,
48113016413,71321.0,,120792.32987096383,
48113016502,45893.0,,82735.50070471944,
48113016509,61657.0,,110559.09174489835,
48113016510,62538.0,,99718.50138566847,
48113016511,56627.0,63988.0,110559.09174489835,218312.83007537283
48113016513,88920.0,115962.0,110559.09174489835,218312.83007537283
48113016514,77192.0,,110559.09174489835,
48113016516,44092.0,42896.0,82735.50070471944,186843.8625021761
48113016517,44125.0,59523.0,82735.50070471944,186843.8625021761
48113016518,44393.0,40897.0,82735.50070471944,186843.8625021761
48113016519,63673.0,74688.0,82735.50070471944,186843.8625021761
48113016520,40271.0,,72126.71568105095,
48113016521,41173.0,,72126.71568105095,
48113016522,57379.0,,110559.09174489835,
48113016523,74250.0,,110559.09174489835,
48113016605,20476.0,,117488.00401590952,
48113016606,56906.0,,117488.00401590952,
48113016607,25424.0,25023.0,80551.9981764895,188412.47370415655
48113016610,41227.0,47906.0,117488.00401590952,229596.31854152234
48113016611,51875.0,,117488.00401590952,
48113016612,81585.0,,117488.00401590952,
48113016615,59271.0,83224.0,110559.09174489835,218312.83007537283
48113016616,65291.0,72370.0,110559.09174489835,218312.83007537283
48113016617,97644.0,98480.0,117488.00401590952,229596.31854152234
48113016618,54310.0,64135.0,117488.00401590952,229596.31854152234
48113016619,43438.0,43292.0,117488.00401590952,229596.31854152234
48113016620,61812.0,96477.0,117488.00401590952,229596.31854152234
48113016621,46563.0,,117488.00401590952,
48113016623,54673.0,,117488.00401590952,
48113016624,66530.0,,110559.09174489835,
48113016625,67260.0,,110559.09174489835,
48113016626,44038.0,,110559.09174489835,
48113016701,31190.0,,53005.86549527256,
48113016703,48889.0,,53005.86549527256,
48113016704,51667.0,58048.0,75460.068954506,183605.74639445878
48113016705,46861.0,,86181.38407871325,
48113016802,60756.0,75875.0,86181.38407871325,196232.2830519038
48113016803,45813.0,42852.0,86181.38407871325,196232.2830519038
48113016804,58000.0,,86181.38407871325,
48113016902,35897.0,33977.0,53005.86549527256,146594.4610716961
48113016903,35897.0,55173.0,86181.38407871325,196232.2830519038
48113017001,41589.0,,91765.77385799128,
48113017003,37718.0,,124688.73619352019,
48113017004,32756.0,,91765.77385799128,
48113017101,31868.0,44722.0,62196.9934331171,162978.92091355618
48113017102,33991.0,54554.0,51214.10637345537,140675.85850060507
48113017201,32780.0,47627.0,72177.91399947998,162978.92091355618
48113017202,42489.0,,72177.91399947998,
48113017301,45212.0,,124688.73619352019,
48113017303,51369.0,,72177.91399947998,
48113017304,94658.0,,72177.91399947998,
48113017305,79423.0,,124688.73619352019,
48113017306,61208.0,,72177.91399947998,
48113017400,46413.0,57727.0,72177.91399947998,170502.73476537023
48113017500,58864.0,78563.0,72177.91399947998,170502.73476537023
48113017602,57125.0,52885.0,72177.91399947998,170502.73476537023
48113017604,40625.0,47188.0,72177.91399947998,170502.73476537023
48113017605,34694.0,,51214.10637345537,
48113017606,33309.0,,72177.91399947998,
48113017702,48075.0,,72177.91399947998,
48113017703,30142.0,38002.0,72177.91399947998,170502.73476537023
48113017704,36569.0,50471.0,72177.91399947998,170502.73476537023
48113017804,43634.0,,82450.87675949991,
48113017805,49438.0,48676.0,63710.94969421043,159820.5163958777
48113017806,40127.0,48359.0,82450.87675949991,185708.44860248125
48113017807,36890.0,,82450.87675949991,
48113017808,70134.0,72330.0,104361.25982573861,209536.62484839946
48113017811,69750.0,72241.0,82450.87675949991,185708.44860248125
48113017812,49524.0,65778.0,82450.87675949991,185708.44860248125
48113017813,42175.0,,82450.87675949991,
48113017814,62370.0,78711.0,82450.87675949991,185708.44860248125
48113017900,41417.0,54130.0,83549.473038015,203756.8749280169
48113018001,48942.0,51875.0,83549.473038015,203756.8749280169
48113018002,43554.0,56292.0,82450.87675949991,185708.44860248125
48113018104,84106.0,,82450.87675949991,
48113018105,38773.0,62852.0,94054.34616992324,200191.4722993523
48113018110,78155.0,79688.0,104361.25982573861,209536.62484839946
48113018111,57075.0,73246.0,104361.25982573861,209536.62484839946
48113018118,57301.0,,104361.25982573861,
48113018120,68006.0,83564.0,94054.34616992324,200191.4722993523
48113018121,49434.0,57105.0,94054.34616992324,200191.4722993523
48113018122,84330.0,,147926.84224962117,
48113018123,65492.0,,94054.34616992324,
48113018124,84969.0,,147926.84224962117,
48113018126,58308.0,80582.0,104361.25982573861,209536.62484839946
48113018127,50000.0,60590.0,104361.25982573861,209536.62484839946
48113018128,44821.0,53125.0,104361.25982573861,209536.62484839946
48113018129,55385.0,58964.0,104361.25982573861,209536.62484839946
48113018130,43281.0,39482.0,104361.25982573861,209536.62484839946
48113018132,62589.0,74138.0,104361.25982573861,209536.62484839946
48113018133,71830.0,,137496.0215296041,
48113018134,78119.0,,137496.0215296041,
48113018135,46566.0,,137496.0215296041,
48113018136,102539.0,,137496.0215296041,
48113018137,73400.0,,104361.25982573861,
48113018138,47144.0,,104361.25982573861,
48113018139,90080.0,,94054.34616992324,
48113018140,88667.0,,147926.84224962117,
48113018141,33441.0,,104361.25982573861,
48113018142,63134.0,,104361.25982573861,
48113018203,48772.0,68289.0,94054.34616992324,200191.4722993523
48113018204,33275.0,57684.0,94054.34616992324,200191.4722993523
48113018205,38153.0,51105.0,77751.61131377047,177233.13712172225
48113018206,41816.0,44950.0,77751.61131377047,177233.13712172225
48113018300,41740.0,56875.0,77751.61131377047,177233.13712172225
48113018401,47581.0,58846.0,77751.61131377047,177233.13712172225
48113018402,48672.0,74219.0,77751.61131377047,177233.13712172225
48113018403,29338.0,43977.0,77751.61131377047,177233.13712172225
48113018501,49324.0,55573.0,89004.49583811969,193817.26148270004
48113018503,27979.0,,105398.42907385131,
48113018505,24242.0,,105398.42907385131,
48113018506,32876.0,,105398.42907385131,
48113018600,51579.0,66477.0,94054.34616992324,200191.4722993523
48113018700,37807.0,41848.0,94054.34616992324,200191.4722993523
48113018801,49028.0,56401.0,94054.34616992324,200191.4722993523
48113018802,37311.0,46377.0,94054.34616992324,200191.4722993523
48113018900,46142.0,53047.0,94054.34616992324,200191.4722993523
48113019004,49851.0,,105398.42907385131,
48113019013,25221.0,31005.0,89004.49583811969,193817.26148270004
48113019014,52530.0,,89004.49583811969,
48113019016,41463.0,52917.0,105398.42907385131,215452.53529967405
48113019018,56952.0,52695.0,105398.42907385131,215452.53529967405
48113019019,32976.0,32995.0,105398.42907385131,215452.53529967405
48113019020,54531.0,50709.0,131998.10633650687,244341.9574344216
48113019021,50479.0,,94054.34616992324,
48113019023,77292.0,102030.0,143413.16940382644,273396.38744823047
48113019024,75859.0,83221.0,143413.16940382644,273396.38744823047
48113019025,80716.0,87045.0,94054.34616992324,200191.4722993523
48113019026,54173.0,62969.0,94054.34616992324,200191.4722993523
48113019027,42356.0,61992.0,94054.34616992324,200191.4722993523
48113019028,53621.0,62050.0,131998.10633650687,244341.9574344216
48113019029,52574.0,63608.0,94054.34616992324,200191.4722993523
48113019031,84097.0,83150.0,131998.10633650687,244341.9574344216
48113019032,45436.0,64531.0,89004.49583811969,193817.26148270004
48113019033,32577.0,52846.0,89004.49583811969,193817.26148270004
48113019034,39946.0,34792.0,105398.42907385131,215452.53529967405
48113019035,33795.0,36433.0,105398.42907385131,215452.53529967405
48113019036,101763.0,114803.0,143413.16940382644,273396.38744823047
48113019037,84674.0,96495.0,143413.16940382644,273396.38744823047
48113019038,58542.0,,170772.6803535447,
48113019039,55653.0,,143413.16940382644,
48113019040,56770.0,,105398.42907385131,
48113019041,67147.0,,105398.42907385131,
48113019042,71643.0,,131998.10633650687,
48113019043,102215.0,,94054.34616992324,
48113019100,48661.0,,170772.6803535447,
48113019202,55102.0,59202.0,170772.6803535447,317729.2664813307
48113019203,69398.0,111078.0,170772.6803535447,317729.2664813307
48113019204,45864.0,,170772.6803535447,
48113019205,98750.0,117418.0,170772.6803535447,317729.2664813307
48113019206,35219.0,,170772.6803535447,
48113019208,28703.0,43954.0,105398.42907385131,215452.53529967405
48113019210,106354.0,131797.0,170772.6803535447,317729.2664813307
48113019211,58684.0,58022.0,170772.6803535447,317729.2664813307
48113019212,27370.0,,138693.31136938746,
48113019213,21316.0,,105398.42907385131,
48113019301,166591.0,250000.0,743704.5366833328,1176517.1478648703
48113019302,133750.0,186635.0,241187.43450391002,449849.5686008919
48113019400,105179.0,184031.0,784285.2896938352,1176517.1478648703
48113019501,175938.0,250000.0,784285.2896938352,1118975.1803291042
48113019502,127000.0,250000.0,784285.2896938352,1176517.1478648703
48113019600,213125.0,179125.0,784285.2896938352,1176517.1478648703
48113019700,249194.0,250000.0,784285.2896938352,1176517.1478648703
48113019800,224097.0,210408.0,784285.2896938352,1176517.1478648703
48113019900,28750.0,58137.0,72126.71568105095,166637.54360504556
48113020000,129205.0,,269367.9525095153,
48113020100,31979.0,,95557.46488400351,
48113020200,23265.0,,49100.889172724805,
48113020300,14060.0,,52131.20470806839,
48113020400,52508.0,,218302.5650447527,
48113020500,14941.0,,126467.60416593065,
48113020600,200938.0,,142696.82931841616,
48113020700,73423.0,,127496.33317803328,
48113980000,0.0,,278916.1543629276,
48113980100,0.0,,86553.35778947499,
